path,label
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting002_x264__0.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting002_x264__1.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting002_x264__2.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting002_x264__3.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting002_x264__4.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting002_x264__5.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting002_x264__6.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting002_x264__7.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting002_x264__8.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting002_x264__9.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting004_x264__0.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting004_x264__1.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting004_x264__2.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting004_x264__3.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting004_x264__4.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting004_x264__5.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting004_x264__6.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting004_x264__7.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting004_x264__8.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting004_x264__9.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting005_x264__0.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting005_x264__1.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting005_x264__2.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting005_x264__3.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting005_x264__4.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting005_x264__5.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting005_x264__6.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting005_x264__7.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting005_x264__8.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting005_x264__9.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting006_x264__0.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting006_x264__1.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting006_x264__2.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting006_x264__3.npy,Fighting
C:/Users/pc/Desktop/VAD/VadCLIP/data/UCFClipFeatures/Fighting/Fighting006_x264__4.npy,Fighting
